"X","Y","OCC","ELEV","GREEN","LIGHT","MNTEMPWQ","PRECDM","SLOPE","TREEDENS"
640923.023248781,4104989.40935576,1,616,-0.0201272666454315,0,8.5,2,10.9504022598267,27
650108.547036586,4224171.99184763,1,15,-0.179245442152023,59.0281677246094,8.10000038146973,1,0.11913588643074,38
526132.81136958,4195705.74712892,1,50,0.0141727272421122,7.43333339691162,10,2,2.98369193077087,37
611681.062839938,4137845.82687299,1,581,0.00747273163869977,8.36065578460693,8.39999961853027,2,5.40104532241821,33
542615.919309719,4196001.21188102,1,54,-0.0792818292975426,61.84375,10.3999996185303,1,1.74390208721161,37
693656.504690004,4225940.66779009,1,217,-0.0147999981418252,4.63636350631714,9.30000019073486,2,0.534327447414398,2
505040.032874993,4219254.12599865,1,49,0.267472714185715,0,9.60000038146973,2,1.7751202583313,0
580447.643520847,4156724.23516701,1,0,0.17394545674324,35.5666656494141,9.89999961853027,1,0.518584907054901,4
582605.526335146,4168169.81203765,1,82,0.0768545418977737,62.9032249450684,9.60000038146973,1,7.3691234588623,24
505821.634994289,4219618.57844927,1,49,0.267472714185715,0,9.60000038146973,2,1.7751202583313,0
565289.385252112,4140717.35627027,1,137,-0.0399272777140141,25.9824562072754,9.69999980926514,2,7.35560894012451,44
498054.31028039,4205391.41466642,1,0,0.126072734594345,0,0,0,0.588264882564545,0
789492.538675253,4124864.5386139,1,517,0.0442181788384914,11.5151519775391,7.19999980926514,1,4.64256238937378,18
554661.066310651,4123668.46046161,1,42,-0.119218200445175,7.08620691299438,10,2.51530861854553,3.53266835212708,19
609296.673363227,4069727.9677298,1,1,0.249781832098961,39.4590148925781,10.3999996185303,1,0.0689863488078117,0
572465.534346658,4139154.46191682,1,132,0.0769272744655609,46.5517234802246,9.5,2,2.5968976020813,0
541813.887999025,4187085.29962656,1,51,0.0813000127673149,12.0483875274658,10.8999996185303,1.1497415304184,4.12374305725098,40
543257.66470024,4190993.88808923,1,211,-0.0927727222442627,54.90625,10.8999996185303,1.46094274520874,7.75900840759277,51
577895.964227886,4132355.32398781,1,247,-0.0760363563895226,28.4920635223389,9.39999961853027,2,12.8923358917236,35
594706.596102931,4041693.09260128,1,0,-0.11594545096159,7.94736862182617,10.8999996185303,1,0.768188118934631,80
647218.79185452,4275800.89425328,1,25,-0.187500014901161,62.7313423156738,8.69999980926514,1,0.753061413764954,21
621381.630640704,4120695.23588025,1,310,0.0333272777497768,5.11864423751831,8.5,1.99334120750427,9.59983062744141,22
595875.224852577,4055022.71285887,1,7,-0.0827636420726776,29.5081958770752,0,1,1.57881271839142,0
555644.088979838,4154417.33367332,1,97,-0.160245463252068,33.6290321350098,9.89999961853027,2,1.74606645107269,41
678661.576639547,4232622.65717234,1,70,0.0687363594770432,6.74626874923706,8.39999961853027,1,0.225070729851723,0
584068.916333809,4090022.85405779,1,24,0.0379999913275242,47.2786903381348,10.3000001907349,2,2.3202691078186,13
688480.542472843,4284024.47645816,1,530,-0.0691999942064285,46.8382339477539,6.80000019073486,2,1.76363456249237,25
563804.905018845,4147575.92133728,1,135,-0.0520363710820675,53.4385948181152,9.60000038146973,2,3.69770312309265,34
607124.056144971,4112023.88091132,1,429,-0.000418186187744141,5.13114738464355,9,2,6.44056224822998,19
556567.637908949,4121042.82918582,1,98,0.055127277970314,4.56896543502808,10,2.14682817459106,7.78699111938477,4
707883.047361726,4295015.77420948,1,1056,-0.131672725081444,10.2173910140991,7.09999990463257,6.03264474868774,13.3931932449341,73
